BiGG ID	Classification	NCBI Superkingdom	NCBI Kingdom	NCBI Phylum	NCBI Class	NCBI Order	NCBI Family	NCBI Genus	NCBI Species	BiGG Link
iECO111_1330	Escherichia coli O111:H- str. 11128	Bacteria	UNKNOWN	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	http://bigg.ucsd.edu/models/iECO111_1330
iECO26_1355	Escherichia coli O26:H11 str. 11368	Bacteria	UNKNOWN	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	http://bigg.ucsd.edu/models/iECO26_1355
iECOK1_1307	Escherichia coli IHE3034	Bacteria	UNKNOWN	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	http://bigg.ucsd.edu/models/iECOK1_1307
iEcolC_1368	Escherichia coli ATCC 8739	Bacteria	UNKNOWN	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	http://bigg.ucsd.edu/models/iEcolC_1368
iECP_1309	Escherichia coli 536	Bacteria	UNKNOWN	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	http://bigg.ucsd.edu/models/iECP_1309
iECs_1301	Escherichia coli O157:H7 str. Sakai	Bacteria	UNKNOWN	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	http://bigg.ucsd.edu/models/iECs_1301
iECS88_1305	Escherichia coli S88	Bacteria	UNKNOWN	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	http://bigg.ucsd.edu/models/iECS88_1305
iECSE_1348	Escherichia coli SE11	Bacteria	UNKNOWN	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	http://bigg.ucsd.edu/models/iECSE_1348
iECSF_1327	Escherichia coli SE15	Bacteria	UNKNOWN	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	http://bigg.ucsd.edu/models/iECSF_1327
iEcSMS35_1347	Escherichia coli SMS-3-5	Bacteria	UNKNOWN	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	http://bigg.ucsd.edu/models/iEcSMS35_1347
iECSP_1301	Escherichia coli O157:H7 str. TW14359	Bacteria	UNKNOWN	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	http://bigg.ucsd.edu/models/iECSP_1301
iECUMN_1333	Escherichia coli UMN026	Bacteria	UNKNOWN	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	http://bigg.ucsd.edu/models/iECUMN_1333
iECW_1372	Escherichia coli W	Bacteria	UNKNOWN	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	http://bigg.ucsd.edu/models/iECW_1372
iEK1008	Mycobacterium tuberculosis H37Rv	Bacteria	UNKNOWN	Actinobacteria	Actinomycetia	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium tuberculosis	http://bigg.ucsd.edu/models/iEK1008
iEKO11_1354	Escherichia coli KO11FL	Bacteria	UNKNOWN	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	http://bigg.ucsd.edu/models/iEKO11_1354
iETEC_1333	Escherichia coli ETEC H10407	Bacteria	UNKNOWN	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	http://bigg.ucsd.edu/models/iETEC_1333
iG2583_1286	Escherichia coli O55:H7 str CB9615	Bacteria	UNKNOWN	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	http://bigg.ucsd.edu/models/iG2583_1286
iHN637	Clostridium Ijungdahlii DSM 13528	Bacteria	UNKNOWN	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium Ijungdahlii	http://bigg.ucsd.edu/models/iHN637
iIS312	Tryponasoma cruzi DM28c	Eukaryota	UNKNOWN	Euglenozoa	Kinetoplastea	Trypanosomatida	Trypanosomatidae	Trypanosoma	Trypanosoma cruzi	http://bigg.ucsd.edu/models/iIS312
iIS312_Amastigote	Tryponasoma cruzi DM28c	Eukaryota	UNKNOWN	Euglenozoa	Kinetoplastea	Trypanosomatida	Trypanosomatidae	Trypanosoma	Trypanosoma cruzi	http://bigg.ucsd.edu/models/iIS312_Amastigote
iIS312_Epimastigote	Tryponasoma cruzi DM28c	Eukaryota	UNKNOWN	Euglenozoa	Kinetoplastea	Trypanosomatida	Trypanosomatidae	Trypanosoma	Trypanosoma cruzi	http://bigg.ucsd.edu/models/iIS312_Epimastigote
iIS312_Trypomastigote	Tryponasoma cruzi DM28c	Eukaryota	UNKNOWN	Euglenozoa	Kinetoplastea	Trypanosomatida	Trypanosomatidae	Trypanosoma	Trypanosoma cruzi	http://bigg.ucsd.edu/models/iIS312_Trypomastigote
iIT341	Helicobacter pylori 26695	Bacteria	UNKNOWN	Proteobacteria	Epsilonprotobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori	http://bigg.ucsd.edu/models/iIT341
iJB785	Synechococcus elongatus PCC 7942	Bacteria	UNKNOWN	Cyanobacteria		Synechococcales	Synechococcaceae	Synechococcus	Synechococcus elongatus	http://bigg.ucsd.edu/models/iJB785
iJN1463	Pseudomonas putida KT2440	Bacteria	UNKNOWN	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas putida	http://bigg.ucsd.edu/models/iJN1463
iJN678	Synechocystis sp. PCC 6803	Bacteria	UNKNOWN	Cyanobacteria		Synechococcales	Merismopediaceae	Synechocystis	unclassified Synechocystis	http://bigg.ucsd.edu/models/iJN678
iJN746	Pseudomonas putida KT2440	Bacteria	UNKNOWN	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas putida	http://bigg.ucsd.edu/models/iJN746
iJO1366	Escherichia coli str. K-12 substr. MG1655	Bacteria	UNKNOWN	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	http://bigg.ucsd.edu/models/iJO1366
iJR904	Escherichia coli str. K-12 substr. MG1655	Bacteria	UNKNOWN	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	http://bigg.ucsd.edu/models/iJR904
iLB1027_lipid	Phaeodactylum tricornutum CCAP 1055/1	Eukaryota	UNKNOWN	Bacillariophyta	Bacillariophyceae	Naviculales	Phaeodactylaceae	Phaeodactylum	Phaeodactylum tricornutum	http://bigg.ucsd.edu/models/iLB1027_lipid
iLF82_1304	Escherichia coli LF82	Bacteria	UNKNOWN	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	http://bigg.ucsd.edu/models/iLF82_1304
iLJ478	Thermotoga maritima MSB8	Bacteria	UNKNOWN	Thermotogae	Thermotogae	Thermotogales	Thermotogaceae	Thermotoga	Thermotoga maritima	http://bigg.ucsd.edu/models/iLJ478
